"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"utnj","微胖手作茶飲","飲料","4.8","(100+)","taipei-city"
"x4y5","覺旅咖啡 Journey Kaffe (南京復興店)","歐美","4.7","(100+)","taipei-city"
"n1po","朝鮮豆腐鍋","韓式","4.7","(500+)","taipei-city"
"omos","探享時虱目魚 (台北大安店)","台式","3.7","(37)","taipei-city"
"w20c","金元加排骨 (台北松山店)","台式","4.8","(500+)","taipei-city"
"s8i2","麥記.燒臘 (台北慶城店)","港式","4.7","(100+)","taipei-city"
"l1bi","N2 COFFEE BIKE  (台北民生店)","咖啡","5","(35)","taipei-city"
"k4m3","廚房客家美食","台式","5","(46)","taipei-city"
"el2u","広島屋","日式","4.4","(100+)","taipei-city"
"erzu","樂粄米 LE BANH MI (敦北店)","東南亞","4.5","(27)","taipei-city"
"yo1n","謝老闆小吃店","台式","4.8","(100+)","taipei-city"
"w2ry","拼拼拌 (市府站)","韓式","4.7","(500+)","taipei-city"
"rfky","稻村麵包 (台北大安店)","甜點","4.8","(500+)","taipei-city"
"y3ui","香香炒飯","台式","4.8","(5000+)","taipei-city"
"ibfu","小廚房鴨血豆腐鍋物專賣店 (台北南京店)","台式","4.7","(58)","taipei-city"
"swhq","東引小吃店","台式","4.6","(500+)","taipei-city"
"sgb9","裸湯拉麵","日式","4.9","(78)","taipei-city"
"a1fh","紅豆食府 (SOGO百貨敦化館)","中式","4.7","(1000+)","taipei-city"
"f9ca","京都餃子的王將 (統一時代百貨台北店)","日式","4.6","(100+)","taipei-city"
"vgcz","Auntie Anne's 蝴蝶餅 (市政府店)","歐美","4.9","(100+)","taipei-city"
"ygyc","明星自助餐","台式","4.6","(500+)","taipei-city"
"uo84","新巴黎香草麻辣滷味 (東區地下街店)","小吃","4.7","(79)","taipei-city"
"z3ab","打卡咖啡館 (台北光復店)","咖啡","4.9","(100+)","taipei-city"
"rkyw","家容素食","素食","4.8","(1000+)","taipei-city"
"q7ph","邱佬員林素食 (台北南京店)","素食","4.9","(36)","taipei-city"
"n2rn","溫州大餛飩 (台北頂好店)","中式","4.8","(1000+)","taipei-city"
"m6if","好食光小吃 (松山南京店)","小吃","3.8","(2)","taipei-city"
"p307","挖掘者咖啡(歐克法咖啡) (八德門市)","咖啡","4.7","(39)","taipei-city"
"kpgk","美術系壽司鋪","日式","4.5","(1000+)","taipei-city"
"n0wc","嵐迪義大利麵館 (台北復興店)","歐美","4.6","(5000+)","taipei-city"
"xm5d","好好味港式菠蘿包 (台北東區店)","甜點","4.9","(500+)","taipei-city"
"w1ct","市府海鮮麵疙瘩","台式","4.7","(3000+)","taipei-city"
"np2a","九屯咖哩 Kyutamuro","日式","4.8","(99)","taipei-city"
"eoji","蓮緣素食餐坊 (台北光復店)","素食","4.8","(500+)","taipei-city"
"t2rq","達美精緻自助餐","台式","4.7","(4000+)","taipei-city"
"kxh4","Top Thai泰鼎泰式料理 (台北敦化店)","東南亞","4.5","(1000+)","taipei-city"
"tcbn","姐妹米粉湯","台式","4.5","(36)","taipei-city"
"xitz","心丼食份 (台北南京復興店)","日式","4.6","(75)","taipei-city"
"t2qw","Semeur聖娜現烤麵包 (市府轉運門市部)","甜點","4.8","(100+)","taipei-city"
"dm4i","Veg14天天菜 (民生店)","健康餐","4.9","(100+)","taipei-city"
"n1cf","涓豆腐 (統一時代百貨台北店)","韓式","4.4","(1000+)","taipei-city"
"v3il","福勝亭 (SOGO店4604)","日式","4.7","(500+)","taipei-city"
"kl0t","粥天下","台式","4.6","(100+)","taipei-city"
"z3za","武林茶 (台北敦南店)","飲料","4.9","(2000+)","taipei-city"
"q8lm","旅人咖啡","歐美","4.5","(500+)","taipei-city"
"b3kk","FULLBURGER 絕佳早午餐","早餐","4.8","(1000+)","taipei-city"
"a6rp","50嵐 (台北長春店)","飲料","4.9","(2000+)","taipei-city"
"rzdl","乃賀美 (統一時代百貨台北店)","甜點","5","(43)","taipei-city"
"w6ct","云滇雲南過橋米線 (台北忠孝店)","中式","4.8","(5000+)","taipei-city"
"lhkg","天曉得牛肉麵店","台式","4.7","(77)","taipei-city"
"s9mg","抿茶 min cha (市民店)","飲料","4.9","(500+)","taipei-city"
"n5tq","丼之家","日式","4.6","(2000+)","taipei-city"
"s2ir","絕佳早餐 (豆豆娘)","早餐","4.8","(1000+)","taipei-city"
"f0fl","東都炒飯","台式","4.6","(500+)","taipei-city"
"q59i","pd by petit doux (SOGO百貨忠孝店)","歐美","4.6","(100+)","taipei-city"
"ld8z","宏記飯館 炒飯 炒麵 燴飯 小炒","台式","4.8","(100+)","taipei-city"
"lj4u","飯卷研究所","韓式","4.7","(100+)","taipei-city"
"kbf2","誠記河粉公司","東南亞","4.8","(4000+)","taipei-city"
"n5qm","HOOTERS美式餐廳 (松山慶城店)","歐美","4.6","(500+)","taipei-city"
"s8fg","傑西寶寶 (台北大安店)","健康餐","4.9","(12)","taipei-city"
"x9ad","SPUKIE (慶城旗艦店)","歐美","4.8","(1000+)","taipei-city"
"abur","巧之味水餃信義","台式","4.8","(500+)","taipei-city"
"ix2e","智勝鮮食","台式","4.7","(100+)","taipei-city"
"fc0g","bb.q CHICKEN (台北慶城店)","韓式","4.8","(1000+)","taipei-city"
"u2jv","上海市牛肉麵","台式","4.6","(100+)","taipei-city"
"ohwh","Go Lean 健康餐盒 X JK廚房 (Just Kitchen 仁愛店)","健康餐","4.8","(100+)","taipei-city"
"gifr","十一茶屋 (台北復興店)","飲料","4.8","(100+)","taipei-city"
"a1gc","興葉 (SOGO百貨忠孝館)","台式","4.8","(100+)","taipei-city"
"n609","金澤美味壽司 (SOGO百貨忠孝店)","日式","4.7","(100+)","taipei-city"
"b2nb","三合院 (SOGO百貨忠孝館)","港式","4.7","(100+)","taipei-city"
"f2jc","金華素食滷味素食麵&水果行","素食","4.7","(500+)","taipei-city"
"y2bc","蜜蜂咖啡","咖啡","4.7","(100+)","taipei-city"
"bgz6","吳哥窟泰式料理","東南亞","2.7","(16)","taipei-city"
"t7df","金泰燒臘港式美食","港式","4.9","(500+)","taipei-city"
"d7bn","讚岐本家","日式","4.7","(2000+)","taipei-city"
"c559","東京都咖哩丼·鰻魚飯 X JK廚房 (Just Kitchen 仁愛店)","日式","4.7","(92)","taipei-city"
"q7wy","慶州館 韓式料理","韓式","4.7","(100+)","taipei-city"
"od6p","西門町楊排骨酥麵 (台北民生店)","台式","4.7","(2)","taipei-city"
"uudz","圈粉砂鍋獨門腸粉","港式","4.6","(500+)","taipei-city"
"jtmu","半糖少冰 (信義永吉店)","飲料","4.8","(100+)","taipei-city"
"aj8x","不二煮藝","歐美","4.8","(24)","taipei-city"
"gjfx","初軒餅舖","甜點","4.5","(13)","taipei-city"
"ep4o","何不食肉","台式","1","(1)","taipei-city"
"x5jj","銀座杏子日式豬排 (微風信義)","日式","4.8","(1000+)","taipei-city"
"nhpo","馬祖麵館 (中山南京店)","台式","4.9","(100+)","taipei-city"
"w8sn","11PASTA 食義 (南京店)","歐美","4.7","(500+)","taipei-city"
"dtbu","如玉四神湯","台式","4.1","(30)","taipei-city"
"y2oo","老三豬腳 (台北永吉店)","台式","4.7","(1000+)","taipei-city"
"y2ih","犀牛犀牛吐司、捲餅、茶飲專売","早餐","4.7","(2000+)","taipei-city"
"ulwy","烈奶茶Hugdayday","飲料","4.7","(69)","taipei-city"
"f7bq","徐杯杯粉圓仙草","甜點","4.7","(3000+)","taipei-city"
"qhwn","樂天皇朝 (微風信義店)","中式","4.8","(500+)","taipei-city"
"tdo3","京簡康 (台北民生店)","健康餐","4.8","(100+)","taipei-city"
"a3sl","果滴滴 Futi Fudi (大安延吉店)","飲料","4.8","(1000+)","taipei-city"
"usro","拾汣茶屋 (永吉店)","飲料","4.8","(100+)","taipei-city"
"ger1","汆食堂健康餐盒","健康餐","4.6","(31)","taipei-city"
"vrs0","沅鄉台南虱目魚店","台式","4.7","(100+)","taipei-city"
"lfpv","九日咖啡 自家烘焙 (中山復興店)","咖啡","4.9","(100+)","taipei-city"
"nlj3","鄉間小路燒臘茶餐廳","港式","4","(6)","taipei-city"
"j1df","享咖啡 (台北仁愛店)","咖啡","4.5","(500+)","taipei-city"
"dxbb","瑪希噠맛있다韓式烤肉餐盒","韓式","4.8","(100+)","taipei-city"
"x2ft","金霸臭臭鍋","台式","4.7","(3000+)","taipei-city"
"xzz3","誠記越南麵食館 (永吉店)","東南亞","4.7","(500+)","taipei-city"
"e32j","珍品九如麵食館","台式","4.7","(500+)","taipei-city"
"cc49","香港粵菜隆騰燒臘館","港式","4.6","(100+)","taipei-city"
"qmie","烤師傅烤肉飯","日式","4.8","(500+)","taipei-city"
"w9si","1998專業飲品","飲料","4.8","(1000+)","taipei-city"
"q3me","傳說食堂 (台北永吉店)","素食","4.7","(100+)","taipei-city"
"p3vo","康圓麵疙瘩","台式","4.7","(1000+)","taipei-city"
"z3aq","豬腳城","台式","4.6","(1000+)","taipei-city"
"jp52","樸 Plain Cafe","歐美","4.8","(100+)","taipei-city"
"u9zy","旭镹小吃鋪-海鮮粥虱目魚","台式","4.6","(100+)","taipei-city"
"l6uu","四鄉五島馬祖麵","台式","4.6","(4000+)","taipei-city"
"ve83","柚后單品茶港式茶飲專門（台北遼寧店）","飲料","5","(48)","taipei-city"
"c368","辛潮滷肉飯 (台北市府店)","台式","4.6","(100+)","taipei-city"
"d1ln","小食厚飯糰早午餐","早餐","4.8","(2000+)","taipei-city"
"h6hn","阿弟仔大腸麵線","小吃","4.9","(100+)","taipei-city"
"ojtk","巷仔口蘿蔔絲餅","小吃","4.8","(500+)","taipei-city"
"y3hl","福嗑古巴三明治","歐美","4.7","(1000+)","taipei-city"
"h7ly","享想（松山民生店）","飲料","4.9","(2000+)","taipei-city"
"d8xe","NICE GREEN美蔬菜廚房 (忠孝店)","健康餐","4.8","(100+)","taipei-city"
"x7dj","芝香雞肉飯","台式","4.7","(5000+)","taipei-city"
"lua9","九如商號","台式","4.5","(3000+)","taipei-city"
"urgl","水雲朵DrinkStore (台北復興店)","飲料","4.7","(1000+)","taipei-city"
"r9hj","醇白精緻茶飲 (台北忠孝店)","飲料","4.5","(47)","taipei-city"
"i117","雲南小鎮泰緬料理","東南亞","4.1","(2)","taipei-city"
"u9jz","金啵金啵김밥韓式飯捲餐盒 (台北信義店)","韓式","4.6","(100+)","taipei-city"
"w6dx","彌敦道港式茶餐廳","港式","4.7","(1000+)","taipei-city"
"wpsw","OKmai 邁泰式便當","東南亞","4.5","(100+)","taipei-city"
"ra7g","鮮食廚房","歐美","4.4","(100+)","taipei-city"
"j22e","阿宏師涼麵嘉義雞肉飯 (松山八德店)","台式","4.8","(500+)","taipei-city"
"nm81","小樂天餃子館","台式","4.6","(500+)","taipei-city"
"j6cv","樓下那間早餐店","早餐","4.9","(500+)","taipei-city"
"r4a9","你有咖啡 HAVE YOU Coffee","咖啡","4.4","(52)","taipei-city"
"a6es","大鼎豬血湯(天然紅豆腐)(忠孝永吉店)","台式","4.7","(1000+)","taipei-city"
"p8wq","Lady媽媽廚房","健康餐","4.8","(500+)","taipei-city"
"sw47","四君子 養生雞湯 (台北信義店)","台式","4.7","(100+)","taipei-city"
"g9h4","四海木須麵","台式","4.8","(100+)","taipei-city"
"h9fv","樂法 (台北民生店)","飲料","4.9","(500+)","taipei-city"
"pzok","金仙蝦捲排骨便當店","台式","4.6","(1000+)","taipei-city"
"r5ae","First eat","台式","4.9","(57)","taipei-city"
"ufr7","摩斯漢堡Mos Burger (大安仁愛店)","日式","4.6","(500+)","taipei-city"
"x7oa","烤食煮盒 便當屋","台式","4.8","(1000+)","taipei-city"
"b46n","金磚鴨莊 (台北松山店)","中式","4.6","(2000+)","taipei-city"
"nhec","滇味廚房","中式","4.8","(100+)","taipei-city"
"v1s1","昌榮小吃店","台式","4.2","(12)","taipei-city"
"w2za","小鐵紅茶","飲料","4.7","(500+)","taipei-city"
"x1mc","深夜紅茶。麵匠","日式","3.7","(500+)","taipei-city"
"flfm","亞米早午餐","早餐","4.2","(100+)","taipei-city"
"mcpg","阿鳳師魯肉燥飯 日式鮑魚湯 (松山饒河店)","日式","4.7","(100+)","taipei-city"
"bkho","小台室 台食 餐盒 雞湯 (台北信義店)","台式","4.9","(37)","taipei-city"
"g3q5","王記牛肉麵大王","台式","4.8","(100+)","taipei-city"
"qhw4","維維風果汁舖 (仁愛醫院一樓大廳)","飲料","4.8","(100+)","taipei-city"
"lr8e","Bonjour 朋廚烘焙坊 (台北民生店)","甜點","4.4","(8)","taipei-city"
"a5hb","鰻將劍持屋 (SOGO百貨復興館)","日式","4.8","(100+)","taipei-city"
"u2od","小資餐食","健康餐","4.9","(500+)","taipei-city"
"alx1","Amber cafe","歐美","4.8","(100+)","taipei-city"
"t4to","珍妃咖啡坊 (台北復興店)","咖啡","4.8","(38)","taipei-city"
"vx16","GIMBAP김밥韓式飯捲小吃 (台北信義店)","韓式","4.7","(100+)","taipei-city"
"z26k","樂碗 健康盒 The One X 威布好食","健康餐","4.9","(89)","taipei-city"
"et9d","Jamba Juice (SOGO百貨復興館)","健康餐","4.7","(86)","taipei-city"
"bss9","麥賣餐盒","日式","4.9","(45)","taipei-city"
"x5es","威布好食 早午餐","歐美","4.7","(1000+)","taipei-city"
"hlen","泰迪農園咖哩 (SOGO百貨復興店)","日式","4.3","(100+)","taipei-city"
"lww8","大眾伙食 (台北永吉店)","港式","4.5","(100+)","taipei-city"
"sx8h","福福DONBURI日式丼飯","日式","5","(2)","taipei-city"
"lpdw","謝記海南雞飯 (SOGO百貨復興店)","東南亞","4.3","(100+)","taipei-city"
