"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"qlpt","三代藥膳心肝湯（星光商圈店）","台式","1","(1)","tainan"
"y0tw","福相麻辣香鍋 (台南公園店)","中式","4.8","(500+)","tainan"
"j00k","老司雞和洋廚房","日式","4.8","(1000+)","tainan"
"l9db","YoYo手作茶飲","飲料","4.9","(1000+)","tainan"
"ozf0","五美茶果茶 (台南民族店)","飲料","4.6","(100+)","tainan"
"fng1","臻品香酥雞 (台南總店)","小吃","4.1","(100+)","tainan"
"z1pt","燚鍋麻辣(寬窄巷子四川麻辣鍋)","中式","4.8","(100+)","tainan"
"k23c","Happymay美式灶腳","歐美","4.9","(38)","tainan"
"uukf","台南甜杏仁芋頭西米露","甜點","4.6","(32)","tainan"
"z1tf","樂作鹽水雞","小吃","4.6","(500+)","tainan"
"wyf2","品藏牛肉麵","台式","4.9","(9)","tainan"
"ck0z","喝呀 手作鮮果.茶 (永康忠孝店)","飲料","5","(15)","tainan"
"pooe","昕旺牛排","台式","4","(1)","tainan"
"o38s","花園釣蝦場","台式","4.7","(100+)","tainan"
"e2sg","古早亭 (台南自由店)","飲料","4.9","(100+)","tainan"
"lott","小跑豬24H韓式自助拉麵 (台南南台店)","韓式","2.7","(3)","tainan"
"oagw","加減乘廚","台式","4.8","(100+)","tainan"
"a2cd","紅太陽 (台南民族總店)","飲料","4.9","(100+)","tainan"
"jf5g","冰塔 (台南大灣店)","甜點","4.9","(100+)","tainan"
"lrw2","烤部庭 (台南大灣店)","小吃","3.8","(36)","tainan"
"r23u","京城牛排 (台南府前店)","台式","5","(1)","tainan"
"or2z","御品碳烤 (台南大灣店)","小吃","4.6","(500+)","tainan"
"y06u","進福大灣花生糖 (台南赤崁店)","甜點","4.9","(100+)","tainan"
"kley","馬來小館","東南亞","4.5","(76)","tainan"
"d50h","黑盤PASTA (崑山店)","歐美","4.8","(1000+)","tainan"
"q28u","家溫體牛鍋物","台式","4.5","(36)","tainan"
"d1tl","龍來現代炒館","台式","4.8","(1000+)","tainan"
"y5dc","ToBe+兔彼炸物","歐美","4.8","(1000+)","tainan"
"fygx","魔西MOXI炸物 （原魔王雞排文成店）","小吃","4.3","(10)","tainan"
"b7sk","日日裝茶 (台南育德店)","飲料","4.5","(500+)","tainan"
"kkql","鶴茶樓 (台南永福店)","飲料","4.9","(1000+)","tainan"
"vch4","先喝道 (台南民族店)","飲料","4.9","(500+)","tainan"
"nsxp","黃金比綠 (崑山店)","飲料","4.9","(100+)","tainan"
"u52s","老二鹽水雞 (台南大同店)","小吃","4.9","(100+)","tainan"
"g3sa","三姐妹臭臭鍋","台式","4.9","(1000+)","tainan"
